S001;SYNTAX IDENTIFIER;010;0001;M;a4;020;0002;M;n1;
S002;INTERCHANGE SENDER;010;0004;M;an..35;020;0007;C;an..4;030;0008;C;an..14;
S003;INTERCHANGE RECIPIENT;010;0010;M;an..35;020;0007;C;an..4;030;0014;C;an..14;
S004;DATE/TIME OF PREPARATION;010;0017;M;n6;020;0019;M;n4;
S005;RECIPIENTS REFERENCE PASSWORD;010;0022;M;an..14;020;0025;C;an2;
S006;APPLICATION SENDER'S IDENTIFICATION;010;0040;M;an..35;020;0007;C;an..4;
S007;APPLICATION RECIPIENTS IDENTIFICATION;010;0044;M;an..35;020;0007;C;an..4;
S008;MESSAGE VERSION;010;0052;M;an..3;020;0054;M;an..3;030;0057;C;an..6;
S009;MESSAGE IDENTIFIER;010;0065;M;an..6;020;0052;M;an..3;030;0054;M;an..3;040;0051;M;an..2;050;0057;C;an..6;
S010;STATUS OF THE TRANSFER;010;0070;M;n..2;020;0073;C;a1;
S011;DATA ELEMENT IDENTIFICATION;010;0098;M;n..3;020;0104;C;n..3;
